pm10,so2,co,o3,no2,kategori
,20,53,128,14,TIDAK SEHAT
,18,39,86,8,SEDANG
,20,37,89,7,SEDANG
,19,49,61,14,SEDANG
,19,38,67,8,SEDANG
,20,32,43,6,BAIK
,22,33,126,13,TIDAK SEHAT
,19,37,87,9,SEDANG
,19,52,90,11,SEDANG
,19,39,95,7,SEDANG
,18,32,89,5,SEDANG
,22,33,144,7,TIDAK SEHAT
,22,37,122,10,TIDAK SEHAT
,21,32,160,8,TIDAK SEHAT
,19,34,91,6,SEDANG
,18,43,81,10,SEDANG
,18,32,62,8,SEDANG
,18,31,40,11,BAIK
,19,47,65,17,SEDANG
48,21,34,58,8,SEDANG
40,20,45,100,13,SEDANG
,21,35,125,10,TIDAK SEHAT
,19,33,75,6,SEDANG
39,18,37,62,8,SEDANG
58,18,42,93,13,SEDANG
47,20,32,98,11,SEDANG
59,23,30,103,9,TIDAK SEHAT
57,19,57,84,25,SEDANG
53,21,31,110,10,TIDAK SEHAT
56,18,36,85,8,SEDANG
52,19,34,96,12,SEDANG
51,19,35,153,6,TIDAK SEHAT
56,20,41,83,11,SEDANG
53,19,48,62,12,SEDANG
26,18,29,23,3,BAIK
29,19,30,24,5,BAIK
16,20,25,25,2,BAIK
13,17,26,24,3,BAIK
17,17,26,22,3,BAIK
17,18,25,36,,BAIK
25,20,32,43,10,BAIK
14,20,23,19,,BAIK
26,19,30,19,5,BAIK
33,18,31,26,3,BAIK
19,19,25,30,,BAIK
28,18,27,27,4,BAIK
31,19,29,49,6,BAIK
32,22,29,52,7,SEDANG
23,22,27,46,4,BAIK
25,20,29,39,5,BAIK
14,18,25,22,2,BAIK
24,19,27,29,3,BAIK
20,18,36,29,9,BAIK
19,18,38,19,10,BAIK
22,20,28,37,4,BAIK
26,19,27,30,3,BAIK
46,25,38,25,10,BAIK
28,20,31,25,11,BAIK
30,23,30,26,8,BAIK
27,19,27,33,6,BAIK
37,20,31,32,9,BAIK
37,20,28,35,9,BAIK
27,20,37,35,10,BAIK
31,21,27,32,9,BAIK
28,22,29,24,5,BAIK
18,18,26,19,,BAIK
19,20,26,32,,BAIK
21,21,26,30,4,BAIK
29,23,26,46,5,BAIK
55,28,38,47,10,SEDANG
51,26,31,49,8,SEDANG
52,23,40,33,8,SEDANG
